id,currentLocationX,currentLocationY,floor,capabilities,centerFreq0,centerFreq1,channelWidth,frequency,RSS,roomNumber,MAC,,,,,
6426,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5785,-90,134,44:48:c1:be:37:f0,,,,,
6427,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5785,-87,134,44:48:c1:be:37:f0,,,,,
6428,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2412,0,0,2412,-93,134,44:48:c1:be:3f:c1,,,,,
6429,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-64,134,24:de:c6:3f:f0:30,,,,,
6430,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-70,134,24:de:c6:3f:f0:30,,,,,
6431,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-66,134,24:de:c6:3f:f0:30,,,,,
6432,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5745,-76,134,34:fc:b9:60:d5:90,,,,,
6433,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5745,-76,134,34:fc:b9:60:d5:90,,,,,
6434,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5745,-77,134,34:fc:b9:60:d5:90,,,,,
6435,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5240,-64,134,f0:5c:19:f8:81:90,,,,,
6436,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5240,-59,134,f0:5c:19:f8:81:90,,,,,
6437,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5240,-63,134,f0:5c:19:f8:81:90,,,,,
6438,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5180,-74,134,34:fc:b9:60:bd:d0,,,,,
6439,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5180,-77,134,34:fc:b9:60:bd:d0,,,,,
6440,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5180,-70,134,34:fc:b9:60:bd:d0,,,,,
6441,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5765,-90,134,44:48:c1:be:36:31,,,,,
